,inputs,targets,outputs
3330,yatnaon,यातनाओं,याद
3331,yarayan,यात्राएं,इस्टी
3332,yatraein,यात्राएं,यादा
3333,yatraen,यात्राएं,याद
3334,yaariyan,यारियां,यूरोप
3335,yariyan,यारियां,यूरोप
3336,yaari,यारी,योगे
3337,yari,यारी,इलान
3338,yugam,युग्म,यान
3339,yugm,युग्म,युग्निया
3340,yuddhrat,युद्धरत,यान
3341,yudhrat,युद्धरत,युद्ध
3342,ukrainian,यूक्रेनियन,यूनिफेंट
3343,ukranian,यूक्रेनियन,उकसाने
3344,jerusalem,येरुशलम,जीवा
3345,yorker,यॉर्कर,यूलेंट
3346,yojanaein,योजनाएं,युद्रा
3347,yojanaen,योजनाएं,योग्य
3348,yojanaye,योजनाएं,योगिक
3349,rangate,रंगते,राजनात्मक
3350,rangte,रंगते,राजनीति
3351,rangkata,रंजकता,राजनीति
3352,ranjkatha,रंजकता,राजनीतिक
3353,ranjkta,रंजकता,रामावती
3354,raees,रईस,रिफाइन
3355,rais,रईस,रिवाल
3356,raktaabh,रक्ताभ,राजनीत
3357,raktabh,रक्ताभ,राजनीति
3358,rakhna,रखना,राजनीति
3359,raghupati,रघुपति,राजनीति
3360,raghuram,रघुराम,राजविधान
3361,registerd,रजिस्टर्ड,रिस्टिंग
3362,registered,रजिस्टर्ड,रियानी
3363,ratanpur,रतनपुर,राजनीति
3364,runners,रनर्स,रोकने
3365,rayan,रयान,राजनीति
3366,ryan,रयान,रिज़ार
3367,ralhan,रल्हन,रिया
3368,ravish,रविश,राजनीति
3369,ravael,रवैल,राजनाम
3370,ravel,रवैल,रामाविष्ठ
3371,rawail,रवैल,राजनीति
3372,rasad,रसद,राजनीत
3373,rasaayanik,रसायनिक,राजपुर
3374,rasaayanika,रसायनिक,राइट्रोलिया
3375,rasayanika,रसायनिक,राजनीति
3376,rasyanik,रसायनिक,राजनीति
3377,rasaayanon,रसायनों,राजनीत
3378,rasayanon,रसायनों,राजनीति
3379,rahamat,रहमत,राजनीति
3380,rahmat,रहमत,राजनीति
3381,rhamat,रहमत,राज्यावत्ता
3382,rahenge,रहेंगे,राजनीति
3383,rahegi,रहेगी,राजनीतिक
3384,rounder,राउंडर,रोकना
3385,raak,राक,राजनीत
3386,rak,राक,राजपत्र
3387,raakhe,राखे,राजनीति
3388,rakhe,राखे,राजनीतिया
3389,raagon,रागों,राजनाथ
3390,ragon,रागों,राजनीति
3391,raghavan,राघवन,राजनीति
3392,raaj,राज,राजनीति
3393,raj,राज,राजनाम
3394,rajkot,राजकोट,राजवान
3395,rajtantra,राजतंत्र,राजनीति
3396,raajneetikaran,राजनीतीकरण,राजनीति
3397,rajneetikaran,राजनीतीकरण,राजप्रदाता
3398,rajnitikaran,राजनीतीकरण,राजप्रिया
3399,rajma,राजमां,राजवाद
3400,rajman,राजमां,राजपुर
3401,raajasva,राजस्व,राजनीति
3402,rajasva,राजस्व,राजनीति
3403,raaji,राजी,राजनीति
3404,raji,राजी,राजप्रिय
3405,rajinaama,राजीनामा,राजनीति
3406,rajinama,राजीनामा,राजनीति
3407,raajon,राजों,राजनीति
3408,rajon,राजों,राजनीति
3409,rana,राणा,राजस्था
3410,raatrichar,रात्रिचर,राजवाद
3411,ratrichar,रात्रिचर,राजपत्र
3412,raadhe,राधे,राजनीति
3413,radhe,राधे,राजनीति
3414,ranapur,रानापुर,राजनाथ
3415,rabin,राबिन,राजनीति
3416,robin,राबिन,रोके
3417,rabha,राभा,राजना
3418,ramkot,रामकोट,राजकाज
3419,ramkote,रामकोट,राजनीति
3420,ramtek,रामटेक,राजपत्र
3421,rampur,रामपुर,राजनीति
3422,rambharose,रामभरोसे,राजनीति
3423,rambharosey,रामभरोसे,राजनीति
3424,ramraj,रामराज,राजवासित
3425,raalod,रालोद,रेडिया
3426,ralaud,रालोद,रिज़िंग
3427,ralod,रालोद,रिक्स
3428,ravaley,रावले,राजपति
3429,ravle,रावले,राजनीति
3430,rasayanik,रासायनिक,राजनीतिक
3431,racreation,रिक्रिएशन,रामा
3432,recreation,रिक्रिएशन,रिप्टिक
3433,rig,रिग,रिंगो
3434,riggs,रिग्स,रिप्टी
3435,rigs,रिग्स,रिज़ाइट
3436,richual,रिचुअल,रिवान
3437,ritual,रिचुअल,रेने
3438,reduction,रिडक्शन,रिवा
3439,ripan,रिपन,रेवा
3440,ripon,रिपन,रिफाइन
3441,ria,रिया,रिक्सिस
3442,riya,रिया,रेवा
3443,rishte,रिश्ते,रिजिया
3444,rishtey,रिश्ते,रेस्ट्रेट
3445,risane,रिसने,रिया
3446,risaney,रिसने,रिया
3447,risne,रिसने,रिवार्ड
3448,rihana,रिहाना,रेडियों
3449,rihanna,रिहाना,रिजाइल
3450,regal,रीगल,रिया
3451,rigal,रीगल,रिया
3452,reasonal,रीजनल,रिवाल
3453,regional,रीजनल,रियास्थान
3454,retreate,रीट्वीट,रिप्ट्रेट
3455,retweet,रीट्वीट,रेडिया
3456,reeta,रीता,रिप्टिक
3457,rita,रीता,रिजिस्टर
3458,rukate,रुकते,रूठ
3459,rukte,रुकते,रोके
3460,ruktey,रुकते,रोका
3461,rugan,रुग्ण,रोकना
3462,rugna,रुग्ण,रोकने
3463,ruganta,रुग्णता,रोकना
3464,rugnata,रुग्णता,रोकना
3465,rojvelt,रुजवेल्ट,रोकना
3466,roojwelt,रुजवेल्ट,रोके
3467,roosevelt,रुजवेल्ट,रोके
3468,rodolph,रुडोल्फ,रोके
3469,rudolf,रुडोल्फ,रोके
3470,rudolph,रुडोल्फ,रोके
3471,roopesh,रुपेश,रोकना
3472,rupesh,रुपेश,रोधा
3473,ruby,रुबी,रोके
3474,roomani,रुमानी,रोकना
3475,rumani,रुमानी,रोके
3476,rukavaton,रूकावटों,रोकना
3477,root,रूट,रोके
3478,route,रूट,रोकना
3479,rooting,रूटिंग,रोकना
3480,routine,रूटिंग,रोकना
3481,routing,रूटिंग,रोके
3482,roots,रूट्स,रोकना
3483,routes,रूट्स,रूपा
3484,roopak,रूपक,रोके
3485,rupak,रूपक,रोका
3486,roopi,रूपी,रोकना
3487,rupi,रूपी,रोकने
3488,rantle,रेंटल,राजनीति
3489,rental,रेंटल,रियान
3490,registan,रेगिस्तान,रिया
3491,registani,रेगिस्तानी,रिया
3492,reja,रेजा,रिंग
3493,reza,रेजा,रिया
3494,rate,रेट,राजनीति
3495,rate,रेत,राजपुरु
3496,ret,रेत,रिज़ा
3497,refaeli,रेफेली,रिक्को
3498,refeli,रेफेली,रिक्स
3499,reshe,रेशे,रेडिया
3500,reshey,रेशे,रिज़र्स
3501,race,रेस,राजनीति
3502,rese,रेस,रिजिस्ट्रिया
3503,racer,रेसर,राजपत्र
3504,recer,रेसर,रिवान
3505,racing,रेसिंग,राजनीति
3506,reson,रेसों,रिंग्स
3507,rehaana,रेहाना,रिया
3508,rehana,रेहाना,रिवान
3509,racketeer,रैकेटियर,राजनीतिक
3510,racketier,रैकेटियर,राजनीति
3511,rectare,रैकेटियर,रिक्सिस
3512,radical,रैडिकल,राजनीति
3513,raidical,रैडिकल,रिज़ान
3514,raith,रैथ,रिज़र्स
3515,rapping,रैपिंग,राजनीत
3516,wrapping,रैपिंग,विंक
3517,robertsan,रॉबर्टसन,रूप
3518,robertson,रॉबर्टसन,रोके
3519,robinson,रॉबिंसन,रुपर्स
3520,royals,रॉयल्स,रोकना
3521,rojlin,रोजलिन,रुकाने
3522,rozlyn,रोजलिन,रोटर
3523,rotation,रोटेशन,रोके
3524,rodrigo,रोड्रिगो,रोकना
3525,ronaldo,रोनाल्डो,रोकना
3526,ronit,रोनित,रोकना
3527,roni,रोनी,रोके
3528,ropane,रोपने,रोटा
3529,ropaney,रोपने,रोके
3530,ropne,रोपने,रोकना
3531,robin,रोबिन,रोपा
3532,roya,रोया,रेडिया
3533,rollers,रोलर्स,रिक्रेस
3534,rovan,रोवन,रोके
3535,rowan,रोवन,रिया
3536,rosario,रोसारियो,रोके
3537,rosariyo,रोसारियो,रोकना
3538,raubadaar,रौबदार,राजनीति
3539,raubadar,रौबदार,राजनीति
3540,raubdar,रौबदार,राजनात्मक
3541,landara,लंगड़ा,लांग
3542,langada,लंगड़ा,लांग
3543,langda,लंगड़ा,लगाने
3544,langar,लंगर,लांग
3545,langaron,लंगरों,लाका
3546,langron,लंगरों,लाजनीति
3547,lambi,लंबी,लाभार्थियों
3548,lakeer,लकीर,लाभार्थ
3549,lakir,लकीर,लाभार्थ
3550,lakiron,लकीरों,लाभिक
3551,lakme,लक्मे,लांगड़ा
3552,lakshmidhar,लक्ष्मीधर,लांग
3553,lakshmighar,लक्ष्मीधर,लाज़
3554,lakshy,लक्ष्य,लाभावृत्ति
3555,lakshya,लक्ष्य,लाभार्थन
3556,lakshyon,लक्ष्यों,लाभार्थ
3557,lux,लक्स,लोकना
3558,laksar,लक्सर,लाखा
3559,luxor,लक्सर,लोकना
3560,lakhkhi,लख्खी,लांघने
3561,lagna,लगना,लाट
3562,laganewale,लगनेवाले,लागिका
3563,lagnevaaley,लगनेवाले,लाता
3564,lagnewale,लगनेवाले,लगाने
3565,lagega,लगेगा,लाभावती
3566,lajjalu,लज्जालु,लांघ
3567,latkate,लटकाते,लाभानुसार
3568,ladki,लड़की,लाभावत
3569,ladate,लड़ते,लाका
3570,ladte,लड़ते,लाजवा
3571,ladaai,लड़ाई,लाभावती
3572,ladai,लड़ाई,लाभावत
3573,ladaaiyon,लड़ाईयों,लाभावत
3574,ladaeyon,लड़ाईयों,लाभार्थ
3575,ladaiyon,लड़ाईयों,लांग
3576,lapetane,लपेटने,लाभास
3577,lapetne,लपेटने,लावा
3578,labada,लबादा,लाभपुर
3579,lbada,लबादा,लाज़ी
3580,labdh,लब्ध,लाभाग्न
3581,lbdh,लब्ध,लक्ष्मी
3582,lalak,ललक,लाला
3583,lalkarata,ललकारता,लाला
3584,lalkarta,ललकारता,लाला
3585,lalla,लल्ला,लोके
3586,lavasa,लवासा,लाभार
3587,lovasa,लवासा,लोके
3588,lassi,लस्सी,लानेवाले
3589,lahanaa,लहना,राजवाद
3590,lahna,लहना,सांझा
3591,lehna,लहना,लेना
3592,lahraee,लहराई,लगाने
3593,lahrai,लहराई,लगाने
3594,lehrayi,लहराई,लिखाए
3595,lahalhati,लहलहाती,राजपति
3596,lahlahaati,लहलहाती,लाभा
3597,lahlahati,लहलहाती,लाक्का
3598,lahsun,लहसुन,लगाने
3599,lasoon,लहसुन,लोकना
3600,lanchar,लांचर,लाभार्थन
3601,launcher,लांचर,लोक
3602,lycopene,लाइकोपिन,लिखाए
3603,lime,लाइम,लिखाता
3604,lives,लाइव्स,लिखा
3605,live,लाईव,लिखाए
3606,laegi,लाएगी,लाल्या
3607,lagataar,लागातार,लाभावत
3608,lagatar,लागातार,लाभार्थ
3609,laata,लाता,लगाने
3610,lata,लाता,लाभार्थियों
3611,laati,लाती,लाभा
3612,lati,लाती,लाभप्रवाण
3613,layega,लायेगा,लाला
3614,lalpur,लालपुर,लेन
3615,las,लास्ट,लाभिक
3616,last,लास्ट,लांग
3617,lindbhed,लिंगभेद,लिखाए
3618,lingbhed,लिंगभेद,लिखाते
3619,lindan,लिंडन,लिखाने
3620,lindn,लिंडन,लिखाए
3621,lindon,लिंडन,लिखाते
3622,likhakar,लिखकर,लिखाए
3623,likhkar,लिखकर,सिरक
3624,ligar,लिगर,लिंग्स
3625,liger,लिगर,लिखाने
3626,liberation,लिबरेशन,लिया
3627,libration,लिबरेशन,लिंग
3628,liberation,लिब्रेशन,लिखा
3629,libration,लिब्रेशन,लिप्पा
3630,leaderon,लीडरों,लेखा
3631,leedaron,लीडरों,लेखा
3632,lidaron,लीडरों,लिखाने
3633,liidaron,लीडरों,लिखाने
3634,louis,लुईस,लोकें
3635,luis,लुईस,लोकना
3636,ludhakate,लुढ़कते,लोकना
3637,ludhkate,लुढ़कते,लोकनात्मक
3638,lurhakate,लुढ़कते,लोकना
3639,lutf,लुत्फ,लुकाने
3640,lumding,लुमडिंग,लोकें
3641,lootmaar,लूटमार,लोकना
3642,lootmar,लूटमार,लोकना
3643,landal,लेंडल,लांघ
3644,lendal,लेंडल,लेटर
3645,lega,लेगा,लेट
3646,legaa,लेगा,लेन
3647,letakar,लेटकर,लेखा
3648,letkar,लेटकर,लेट
3649,lenevali,लेनेवाली,लेखनीय
3650,lenewali,लेनेवाली,लेखा
3651,label,लेबल,लाभावती
3652,labeling,लेबलिंग,लाविका
3653,labelling,लेबलिंग,लाभावती
3654,labelo,लेबलों,लाभाग्न
3655,labelon,लेबलों,लाभार्थियों
3656,lebalon,लेबलों,लेट
3657,lemon,लेमन,लेट
3658,laingadan,लैंगडन,लाला
3659,langdon,लैंगडन,लांघ
3660,lengdan,लैंगडन,लेखा
3661,laigikata,लैंगिकता,लेट
3662,laingikta,लैंगिकता,लाला
3663,lanset,लैंसेट,लाभा
3664,lenset,लैंसेट,लिट्टे
3665,lairi,लैरी,लेट
3666,lairy,लैरी,लोक
3667,larry,लैरी,लिखाए
3668,lace,लैस,लांग
3669,less,लैस,लेखा
3670,locket,लॉकेट,लोके
3671,laundry,लॉन्ड्री,लोके
3672,longewal,लोंगोवाल,लोके
3673,longewala,लोंगोवाल,लोकनाथ
3674,longoval,लोंगोवाल,लोके
3675,log,लोग,लोकनाथ
3676,loge,लोगे,लुट्टर
3677,lochdar,लोचदार,लोकना
3678,lodi,लोदी,लोक
3679,laurence,लौरेंस,लोकना
3680,laurens,लौरेंस,लोकना
3681,laurense,लौरेंस,लोकना
3682,wonder,वंडर,वार्ड
3683,vansh,वंश,वाद
3684,vanshdhar,वंशधर,वास्त्र
3685,vanshavad,वंशवाद,वाक्या
3686,vanshvaad,वंशवाद,वानु
3687,vanshvad,वंशवाद,वार्क
3688,wanshwad,वंशवाद,वायर
3689,vajood,वजूद,वाद्या
3690,vajud,वजूद,वाद
3691,wajood,वजूद,वाद्यावृत्ति
3692,vadali,वडाली,वाद्यावरण
3693,vadli,वडाली,वाद्य
3694,wadali,वडाली,वाक्न
3695,vanita,वनिता,वाद्यार्थ
3696,vareinye,वरेण्य,व्यवस्था
3697,varenya,वरेण्य,व्यावस्थापित
3698,varn,वर्ण,वर्तना
3699,varna,वर्ण,व्यवस्था
3700,varnit,वर्णित,व्यवस्था
3701,vartamaan,वर्तमान,व्यक्ष
3702,vartaman,वर्तमान,व्यवस्था
3703,vartmaan,वर्तमान,व्यवस्था
3704,vartman,वर्तमान,वर्धनात्मक
3705,varddhaman,वर्द्धमान,व्यवस्था
3706,vardhmaan,वर्द्धमान,व्यवस्था
3707,vardhman,वर्द्धमान,व्याय
3708,verbal,वर्बल,विश्वासन
3709,varshan,वर्शन,व्यापी
3710,vasharan,वर्शन,वायुमान
3711,vershan,वर्शन,वर्ता
3712,version,वर्शन,विश्वास
3713,varsaache,वर्साचे,व्यवहार
3714,varsaryache,वर्साचे,वेंक
3715,vasearche,वर्साचे,वैद्यालयों
3716,valkan,वल्कन,वाइट
3717,valkkan,वल्कन,वर्षियों
3718,velkan,वल्कन,व्यवस्था
3719,vash,वश,वर्धना
3720,vashikaran,वशीकरण,वायुमान
3721,vaangchuk,वांगचुक,वाद्य
3722,vangchuk,वांगचुक,वार्ट
3723,wangchuk,वांगचुक,वामिक
3724,want,वांट,वायदे
3725,vije,वाइज,विकार
3726,vise,वाइज,विश्वस्था
3727,wise,वाइज,विक्रिया
3728,vatar,वाटर,वादार
3729,water,वाटर,वार्ड
3730,watson,वाटसन,वायस
3731,wattson,वाटसन,वायस्टर्स
3732,vaan,वाण,वायर
3733,waan,वाण,वास्तिकार
3734,vaanon,वाणों,वास्तिक
3735,vanon,वाणों,वाद्य
3736,wanon,वाणों,वायर
3737,vatanukulan,वातानुकूलन,वाद्य
3738,watanukoollan,वातानुकूलन,वाद
3739,vaadak,वादक,वाद्यापन
3740,vadak,वादक,वाद्यालय
3741,vaadiyon,वादियों,वाद्यता
3742,vadiyon,वादियों,वाद्य
3743,wadiyon,वादियों,वाद्यार्थ
3744,vayana,वायना,वांग
3745,vayna,वायना,वार्ड
3746,wayna,वायना,वार्ट
3747,wireless,वायरलेस,विंक
3748,wirerless,वायरलेस,विंक
3749,warrior,वारियर्स,वेल
3750,warriors,वारियर्स,विश्वास
3751,valve,वाल्व,व्यास
3752,wolv,वाल्व,वार्ड
3753,vastavik,वास्तविक,वायदा
3754,vastvik,वास्तविक,वायर
3755,vaahikayen,वाहिकाएं,वाद्यावरण
3756,vahikayen,वाहिकाएं,वाचिति
3757,wahikayan,वाहिकाएं,वाहिक
3758,winter,विंटर,विश्वासन
3759,vincent,विंसेंट,विश्वार
3760,vikalpon,विकल्पों,विश्वास
3761,wicket,विकेट,वेल
3762,vikramjeet,विक्रमजीत,विधारण
3763,vikramjit,विक्रमजीत,विकार
3764,vichaarakon,विचारकों,विश्वास
3765,vicharakon,विचारकों,विधान
3766,vigyan,विज्ञान,विश्वास
3767,vigyaani,विज्ञानी,विद्यालय
3768,vigyani,विज्ञानी,विश्वास
3769,vigyaanon,विज्ञानों,विद्यार्थ
3770,vigyanon,विज्ञानों,विश्वामी
3771,vitthal,विट्ठल,विश्वासन
3772,viththal,विठ्ठल,विश्वास
3773,vitthal,विठ्ठल,विश्वास्थ
3774,vitark,वितर्क,विश्वास
3775,vidhaaein,विद्याएं,विश्वामी
3776,vidyaayein,विद्याएं,विश्वास
3777,vidyaen,विद्याएं,विश्वास
3778,vidhaaon,विद्याओं,विधारण
3779,vidyaaon,विद्याओं,विश्वस्था
3780,vidyaon,विद्याओं,विश्वास
3781,vidhansabhaein,विधानसभाएं,विश्वास
3782,vidhansabhaen,विधानसभाएं,विक्रमण
3783,vidhivat,विधिवत,विश्वार
3784,vidhut,विधुत,विश्वासन
3785,vinasht,विनष्ट,विश्वास
3786,vineet,विनीत,विश्वासित
3787,vinit,विनीत,विश्वास
3788,vipreetataa,विपरीतता,विश्वास्था
3789,vipritata,विपरीतता,विश्वास
3790,vipra,विप्रा,विश्वास
3791,vipro,विप्रो,विधियों
3792,wipro,विप्रो,विल्पनाथ
3793,vibha,विभा,विश्वास
3794,vibhajak,विभाजक,विधारणा
3795,vibhram,विभ्रम,विधान
3796,vibhrm,विभ्रम,विश्वास
3797,vibram,विभ्रम,विश्वास
3798,vimarsh,विमर्श,विश्वास
3799,vimarsho,विमर्शों,विधारणा
3800,vimarshon,विमर्शों,विक्रिया
3801,virajati,विराजती,विश्वासन
3802,virechan,विरेचन,विद्वार
3803,virodh,विरोध,विश्वास
3804,virodhabhasi,विरोधाभासी,विद्यापी
3805,virodhabhason,विरोधाभासों,विश्वास
3806,vividh,विविध,विश्वामी
3807,vivekahin,विवेकहीन,विश्वास
3808,vivekheen,विवेकहीन,विश्वास
3809,visheshan,विशेषण,विश्वास
3810,visheshanon,विशेषणों,विश्वविधाएं
3811,visheshaadhikaar,विशेषाधिकार,विश्वास्थित
3812,visheshadhikar,विशेषाधिकार,विश्वास
3813,vishwasaniy,विश्वसनीय,विश्वास
3814,vishwasniiya,विश्वसनीय,विश्विष्कार
3815,vishwasaniyata,विश्वसनीयता,विश्वास
3816,vishwasniiyataa,विश्वसनीयता,विधाता
3817,vishahin,विषहीन,विक्रिया
3818,vishhin,विषहीन,विश्वस्त्र
3819,vishanu,विष्णु,विश्वास्थापन
3820,vishnu,विष्णु,विश्वास
3821,vlc,वीएलसी,विश्वास
3822,weeks,वीक्स,विल
3823,veerchand,वीरचंद,व्यवस्था
3824,virchand,वीरचंद,विश्वास
3825,veeresh,वीरेश,विश्वास
3826,viresh,वीरेश,विधान
3827,vritton,वृत्तों,वृत्या
3828,vruton,वृत्तों,विधान
3829,vrutton,वृत्तों,वृद्ध
3830,venkataraman,वेंकटरमन,विश्वामी
3831,venkatraman,वेंकटरमन,वर्धनाथ
3832,ved,वेड,विधा
3833,wade,वेड,वाद्या
3834,wed,वेड,वेलिया
3835,wedding,वेडिंग,विला
3836,vediyon,वेदियों,विश्वासन
3837,vedon,वेदों,वर्धाध्यात्मक
3838,venezuela,वेनेजुएला,व्यवहार
3839,veronica,वेरोनिका,विश्वास
3840,veronika,वेरोनिका,व्यक्षा
3841,weronika,वेरोनिका,विल
3842,velvet,वेलवेट,व्यक्षिणा
3843,welwet,वेलवेट,विला
3844,welder,वेल्डर,विंक
3845,weldor,वेल्डर,विंक
3846,welding,वेल्डिंग,विज्ञान
3847,wealth,वेल्थ,वेल
3848,vellur,वेल्लूर,व्यवस्था
3849,velur,वेल्लूर,वर्ष
3850,vesh,वेश,व्यवस्था
3851,wasting,वेस्टिंग,वालिक
3852,westing,वेस्टिंग,विला
3853,wastinghouse,वेस्टिंगहाउस,वार्स
3854,westinghouse,वेस्टिंगहाउस,विलाइन
3855,vaisley,वेस्ले,वैद्या
3856,vesle,वेस्ले,विश्वासन
3857,wesle,वेस्ले,विक्स
3858,vaigyaanik,वैज्ञानिक,वार्ट
3859,vaigyanik,वैज्ञानिक,वार्ड
3860,vegyanik,वैज्ञानिक,वर्ष
3861,vaigyaanikta,वैज्ञानिकता,वैधा
3862,vaigyanikata,वैज्ञानिकता,व्यवस्था
3863,vaigyanikta,वैज्ञानिकता,वर्गा
3864,vaitravati,वैत्रवती,वालिस
3865,vaitrawati,वैत्रवती,वर्ष
3866,vaimanasy,वैमनस्य,वार्ट
3867,vaimanasya,वैमनस्य,वर्मिया
3868,vaimanya,वैमनस्य,वार्ड
3869,very,वैरी,व्यवहार
3870,vaisaakh,वैशाख,वेदा
3871,vaishakh,वैशाख,वर्मा
3872,vaishaakhi,वैशाखी,व्यवस्था
3873,vaishakhi,वैशाखी,वार्स
3874,vaishnodevi,वैष्णोदेवी,वार्किया
3875,vyaktigat,व्यक्तिगत,व्यवस्था
3876,vyagr,व्यग्र,व्यवहार
3877,vyagra,व्यग्र,वर्म
3878,vyatit,व्यतीत,वेंस
3879,vytit,व्यतीत,विश्वास
3880,vyabhichar,व्यभिचार,व्यक्त
3881,vyabhichari,व्यभिचार,वर्ध
3882,vyavadhan,व्यवधान,वेदना
3883,vyavdhan,व्यवधान,वेदनाथ
3884,vyavahargat,व्यवहारगत,व्यवहार
3885,vyvhargat,व्यवहारगत,व्यवस्था
3886,vyaghat,व्याघात,व्यास
3887,vyapak,व्यापक,व्यायपूर्ण
3888,vlad,व्लाद,विश्वास
3889,wlaad,व्लाद,विजिट
3890,vladimir,व्लादिमीर,विकासवाद
3891,shanghai,शंघाई,शांतिक
3892,shatpath,शतपथ,शांतिक
3893,shanivar,शनिवार,शाकार
3894,shaniwar,शनिवार,शास्त्र
3895,shabana,शबाना,शांतिक
3896,shbana,शबाना,शांति
3897,shabdarth,शब्दार्थ,शाहिका
3898,shamadan,शमादान,शाकार
3899,shmadan,शमादान,शांति
3900,shamitabh,शमिताभ,शाकार
3901,shamil,शमिल,शांतियों
3902,shmil,शमिल,शुभारता
3903,sharabon,शराबों,शुक्रा
3904,shrabon,शराबों,श्रीप
3905,shararat,शरारत,शेषता
3906,shrart,शरारत,श्रीराज
3907,sharmana,शर्माना,शर्चा
3908,shaharwasiyon,शहरवासियों,शाका
3909,shahrvasiyon,शहरवासियों,शास्त्र
3910,shervasiyon,शहरवासियों,शिवाल
3911,shahdara,शहादरा,शास्त्र
3912,shaantikaal,शांतिकाल,शास्त्र
3913,shantikal,शांतिकाल,शाली
3914,shaao,शाओ,शाक्षा
3915,shao,शाओ,शुद्ध
3916,shaakir,शाकिर,शाका
3917,shakir,शाकिर,शास्त्र
3918,shaakhaaen,शाखाएं,शहजाद
3919,shakhayan,शाखाएं,शास्त्र
3920,shakhayen,शाखाएं,शास्त्र
3921,shayak,शायक,शांतियों
3922,shaavakon,शावकों,शास्त्र
3923,shavakon,शावकों,शास्त्र
3924,shavkon,शावकों,शांति
3925,shaasaka,शासक,शांति
3926,shasak,शासक,शाहित
3927,sasakon,शासकों,सांगों
3928,shaasakon,शासकों,शास्त्र
3929,shasakon,शासकों,शांतिक
3930,shipra,शिप्रा,शिवाल
3931,shirke,शिर्के,शिक्षा
3932,sheershakon,शीर्षकों,शिक्षार्थ
3933,shirshakon,शीर्षकों,शिवालय
3934,shirshkon,शीर्षकों,शिकान
3935,shujaat,शुजात,शर्मिक
3936,shujat,शुजात,शर्मन
3937,shooting,शुटिंग,शास्त्र
3938,shutting,शुटिंग,शुभाग्रह
3939,should,शुड,शुभाग्रह
3940,shud,शुड,शुरुद्रा
3941,shubhankar,शुभंकर,शिवाल
3942,shumaali,शुमाली,शुद्ध
3943,shumali,शुमाली,शुक्रवासी
3944,shringaar,शृंगार,श्री
3945,shringar,शृंगार,श्रीतियों
3946,shrungar,शृंगार,श्रीकृति
3947,sheling,शेलिंग,शिकार
3948,shelling,शेलिंग,शिकार
3949,shaili,शैली,शुद्ध
3950,shaly,शैली,शर्म
3951,sheli,शैली,शिवाया
3952,shaishav,शैशव,शुभारा
3953,sean,शॉन,सैंकल
3954,shaun,शॉन,शास्त्रवाद
3955,shawn,शॉन,शास्त्र
3956,short,शोर्ट,शिल्प
3957,sure,श्योर,सुलझा
3958,shrankhala,श्रंखला,श्रीवाल
3959,shrankhalaa,श्रंखला,श्रीदार
3960,shrunkhla,श्रंखला,श्रीदा
3961,shrankhalaaon,श्रंखलाओं,श्रीकृति
3962,shrinkhalaon,श्रंखलाओं,श्रह
3963,shrunkhlaon,श्रंखलाओं,श्रीप
3964,shravani,श्रावणी,श्रीति
3965,shrikar,श्रीकर,श्रृंखला
3966,shrikhand,श्रीखंड,श्रीनाथ
3967,shrimati,श्रीमति,श्रृंग
3968,shriram,श्रीराम,श्रीरावर्ग
3969,sriram,श्रीराम,स्लाइन
3970,shrotaon,श्रोताओं,श्रीनाथ
3971,shat,षट्,शांतिकार
3972,sankhyaein,संख्याएं,संस्था
3973,sankhyaen,संख्याएं,संतुष्ठ
3974,sankhyayen,संख्याएं,संग्रहण
3975,sanghanit,संघनित,संगीत
3976,sanghnit,संघनित,संवेदना
3977,sanchayan,संचयन,संगठन
3978,sanchar,संचार,संग्रह
3979,sanchaari,संचारी,संस्थान
3980,sanchari,संचारी,संग्रह
3981,sanchalanon,संचालनों,संग्रह
3982,sanchalnon,संचालनों,संगीता
3983,sanjay,संजय,संस्वामी
3984,sanjeevan,संजीवन,संक्रम
3985,sanjivan,संजीवन,संगम्य
3986,santati,संतति,संग्रह
3987,sandarbh,संदर्भ,संगीता
3988,sandarbha,संदर्भ,संवेदन
3989,sandrbh,संदर्भ,संकला
3990,sandarbhon,संदर्भों,संग्रह
3991,sandrbhon,संदर्भों,संग्रह
3992,sandali,संदली,संवेदना
3993,sandli,संदली,संग्रह
3994,sandhan,संधान,संविधा
3995,samprati,संप्रति,संकार
3996,samprti,संप्रति,संभावन
3997,samprabhu,संप्रभु,संस्थान
3998,samprbhu,संप्रभु,संवेदना
3999,samprabhuta,संप्रभुता,संतार
4000,samprbhuta,संप्रभुता,संभाव
4001,sambit,संबित,संप्रदर्शन
4002,sambhalane,संभालने,समाजा
4003,sambhalne,संभालने,संभागी
4004,sambhrant,संभ्रांत,समाजवासी
4005,sanbharnt,संभ्रांत,संवेदना
4006,sanyog,संयुक्त,संग्रह
4007,sanyukt,संयुक्त,संविधान
4008,sanyukta,संयुक्त,संग्रह
4009,sanyukta,संयुक्ता,संग्रह
4010,sanyogvash,संयोगवश,संग्रह
4011,sanyojan,संयोजन,संग्रह
4012,sanyojanon,संयोजनों,संग्रह
4013,sanyojnon,संयोजनों,संग्रह
4014,samvedikaran,संवेदीकरण,संभाग्य
4015,sanvedikaran,संवेदीकरण,संक्षेप
4016,samshayon,संशयों,समाजशील
4017,sanshayon,संशयों,संग्रेशन
4018,sanshyon,संशयों,संग्रह
4019,sanskaar,संस्कार,संग्रह
4020,sanskar,संस्कार,संग्रहण
